Time,CAN2_CPC_C10_VehSpd_Cval_PT_t8
0.05675998,6.0
0.106752439,7.0
0.156748882,7.0
0.206883235,7.0
0.256760988,7.0
0.306752634,7.0
0.35676378,7.0
0.406749833,7.0
0.456765479,7.0
0.506751532,7.0
0.556759991,7.0
0.606752544,7.0
0.656765191,7.0
0.70675354,7.0
0.756917096,7.0
0.807230047,7.0
0.856890889,7.0
0.906752441,7.0
0.956764202,7.0
1.006753761,7.0
1.056765522,7.0
1.106753769,7.0
1.156899034,7.0
1.206938984,7.0
1.256763148,7.0
1.306752504,7.0
1.356762266,7.0
1.406777418,7.0
1.456760477,7.0
1.506752738,7.0
1.556762,7.0
1.606752543,7.0
1.656768118,7.0
1.706963071,7.0
1.75695863,7.0
1.80729529,7.0
1.856762446,7.0
1.906749792,7.0
1.956764222,7.0
2.006752557,7.0
2.056770096,7.0
2.106756338,7.0
2.156763971,7.0
2.206967405,7.0
2.256762345,7.0
2.306753587,7.0
2.356763329,7.0
2.406781275,7.0
2.45676411,7.0
2.506752851,7.0
2.556763375,7.0
2.606750726,7.0
2.656767359,7.0
2.706754397,8.0
2.756973238,8.0
2.807333677,8.0
2.856754921,8.0
2.906752059,8.0
2.956765315,8.0
3.006751366,8.0
3.056760621,8.0
3.10675547,8.0
3.156769022,8.0
3.206755277,8.0
3.256758923,8.0
3.306968073,8.0
3.356755432,8.0
3.406750375,8.0
3.456754739,8.0
3.506753292,8.0
3.556755734,8.0
3.606754192,8.0
3.656759353,8.0
3.706751296,8.0
3.756977947,8.0
3.807379509,8.0
3.856755764,8.0
3.90676761,8.0
3.956758046,8.0
4.006758387,8.0
4.056813839,8.0
4.106812478,8.0
4.156773725,8.0
4.206767567,8.0
4.256762627,8.0
4.306768563,8.0
4.356762514,8.0
4.406859952,8.0
4.456818808,8.0
4.506767055,8.0
4.556770897,8.0
4.606777145,8.0
4.656778784,8.0
4.706776032,8.0
4.756776873,8.0
4.807420622,8.0
4.856776979,8.0
4.90677451,8.0
4.956773965,8.0
5.006988816,8.0
5.056776766,8.0
5.106765517,9.0
5.156774973,9.0
5.206767225,9.0
5.256769368,9.0
5.306764228,9.0
5.356768371,9.0
5.40676592,9.0
5.456773876,9.0
5.506766424,9.0
5.556988072,9.0
5.606766632,9.0
5.656768273,9.0
5.706768526,9.0
5.756768481,9.0
5.807489922,9.0
5.85693327,9.0
5.906784429,9.0
5.95677269,9.0
6.006983642,9.0
6.056773116,9.0
6.106767173,9.0
6.156948423,9.0
6.206773195,9.0
6.256764846,9.0
6.306771012,9.0
6.356766273,9.0
6.40676733,9.0
6.456773091,9.0
6.506772945,9.0
6.556765002,9.0
6.606766872,9.0
6.656766133,9.0
6.706789581,9.0
6.756773747,10.0
6.807538605,10.0
6.856771659,10.0
6.906815325,10.0
6.956798284,10.0
7.006799244,10.0
7.056789688,10.0
7.106811649,10.0
7.156786904,10.0
7.206806067,10.0
7.256833809,10.0
7.306843066,10.0
7.356812635,9.0
7.406832392,9.0
7.456990449,9.0
7.506808405,9.0
7.556821053,10.0
7.60677212,10.0
7.656843566,10.0
7.706805118,10.0
7.757064178,10.0
7.807585745,10.0
7.856841203,10.0
7.906876592,9.0
7.956828915,9.0
8.006859443,10.0
8.056860282,10.0
8.107093411,10.0
8.156858446,10.0
8.206871176,10.0
8.256878297,9.0
8.306882433,9.0
8.356878367,10.0
8.406873488,10.0
8.456859623,10.0
8.506896854,10.0
8.556895288,10.0
8.606903018,10.0
8.656910545,10.0
8.706912369,10.0
8.756886005,10.0
8.807635947,10.0
8.856890465,10.0
8.906968604,10.0
8.956873737,10.0
9.006917453,10.0
9.057315791,10.0
9.106921726,10.0
9.156945051,10.0
9.206925077,10.0
9.256955714,10.0
9.306928147,10.0
9.356943174,10.0
9.406945904,10.0
9.456943025,10.0
9.506954068,10.0
9.556931188,11.0
9.606954528,11.0
9.656935351,11.0
9.706971379,11.0
9.756989017,11.0
9.807688942,11.0
9.856975367,11.0
9.906985648,11.0
9.956990416,11.0
10.007008778,11.0
10.057000045,11.0
10.106979109,11.0
10.156972971,11.0
10.206985848,11.0
10.25699121,11.0
10.306989868,11.0
10.357002135,11.0
10.406977106,11.0
10.456985265,11.0
10.507000235,11.0
10.556983002,11.0
10.607015771,12.0
10.656995226,12.0
10.707027697,12.0
10.756987964,12.0
10.807756326,12.0
10.857200691,12.0
10.907036529,12.0
10.956987852,12.0
11.007055676,12.0
