Time,CAN2_CPC_C10_VehSpd_Cval_PT_t0
0.029560662,5.0
0.079531015,4.0
0.129560368,4.0
0.179536126,4.0
0.22955848,4.0
0.279534223,4.0
0.329561374,4.0
0.37956443,3.0
0.429713788,3.0
0.479542339,3.0
0.52969729,3.0
0.579968447,3.0
0.629353393,3.0
0.679542251,3.0
0.7293556,3.0
0.779541558,3.0
0.829571213,2.0
0.879546681,2.0
0.92936433,2.0
0.9795501,2.0
1.029356656,2.0
1.07954402,2.0
1.129359263,2.0
1.179337621,2.0
1.229710396,2.0
1.279334744,2.0
1.329364806,2.0
1.379340773,2.0
1.429718235,2.0
1.479341989,2.0
1.529717358,1.0
1.579341909,1.0
1.629367564,1.0
1.679342625,1.0
1.729369371,1.0
1.779343826,1.0
1.82936597,1.0
1.87934752,1.0
1.929369477,1.0
1.97934873,1.0
2.029374469,1.0
2.079341924,1.0
2.129369678,1.0
2.179348618,1.0
2.229372966,1.0
2.279346625,1.0
2.329374067,1.0
2.379350725,1.0
2.429735864,1.0
2.47935081,1.0
2.529382455,0.0
2.579357317,0.0
2.629380556,0.0
2.679355808,0.0
2.729382854,0.0
2.779353795,0.0
2.829384128,0.0
2.879361648,0.0
2.929385481,0.0
2.979371313,0.0
3.029389553,0.0
3.079359697,0.0
3.129388624,0.0
3.179358956,0.0
3.229389493,0.0
3.279363121,0.0
3.329390861,0.0
3.379366193,0.0
3.429526733,0.0
3.479498658,0.0
3.529392691,0.0
3.579370227,0.0
3.629394075,0.0
3.679367204,0.0
3.729393545,0.0
3.779511789,0.0
3.829394948,0.0
3.879373892,0.0
3.929395353,0.0
3.979376406,0.0
4.029403163,0.0
4.079371606,0.0
4.129399052,0.0
4.179376214,0.0
4.229398268,0.0
4.279366118,0.0
4.32940097,0.0
4.379376022,0.0
4.429539174,0.0
4.479368817,0.0
4.529402684,0.0
4.579383534,0.0
4.629404088,0.0
4.679376844,0.0
4.729403996,0.0
4.779381358,0.0
4.829407221,0.0
4.879385082,0.0
4.929408944,0.0
4.979385822,0.0
5.029411278,0.0
5.079382233,0.0
5.129409205,0.0
5.179386176,0.0
5.229410039,0.0
5.279383993,0.0
5.329411856,0.0
5.379388218,0.0
5.429556788,0.0
5.479385644,0.0
5.529421899,0.0
5.579395166,0.0
5.629417935,0.0
5.67938989,0.0
5.729418747,0.0
5.779393298,0.0
5.829416052,0.0
5.879389603,0.0
5.929417951,0.0
5.979396892,0.0
6.029424334,0.0
6.079393495,0.0
6.129419234,0.0
6.179396581,0.0
6.229422836,0.0
6.279394683,0.0
6.329423641,0.0
6.379399285,0.0
6.429562529,0.0
6.479398778,0.0
6.52942833,0.0
6.579405568,0.0
6.629426229,0.0
6.679398873,0.0
6.729427328,0.0
6.779403167,0.0
6.8294276,0.0
6.879406033,0.0
6.929429983,0.0
6.979406712,0.0
7.029429864,0.0
7.079403797,0.0
7.129445435,0.0
7.179407476,0.0
7.229434113,0.0
7.279406655,0.0
7.329434293,0.0
7.379409038,0.0
7.429576584,0.0
7.479408716,0.0
7.529435447,0.0
7.579426302,0.0
7.629436439,0.0
7.679410184,0.0
7.72943682,0.0
7.779414952,0.0
7.829438085,0.0
7.879416717,0.0
7.92943946,0.0
7.979419498,0.0
8.029437131,0.0
8.07943378,0.0
8.129455412,0.0
8.179413044,0.0
8.229435084,0.0
8.279411419,0.0
8.329562165,0.0
8.379407699,0.0
8.429577728,0.0
8.479412058,0.0
8.529566601,0.0
8.579425543,0.0
8.629434176,0.0
8.679412308,0.0
8.729437056,0.0
8.779415294,0.0
8.829579944,0.0
8.879417694,0.0
8.929443246,0.0
8.979416795,0.0
9.029439535,0.0
9.079414586,0.0
9.129455139,0.0
9.179415392,0.0
9.229439537,0.0
9.279418885,1.0
9.329440437,1.0
9.379417878,1.0
9.429590231,2.0
9.479424278,2.0
9.529445533,3.0
9.579422771,3.0
9.629446526,3.0
9.67956658,4.0
9.729450521,4.0
9.779423279,4.0
9.829447225,4.0
9.879429186,4.0
9.929449242,5.0
9.979426188,5.0
10.029452448,5.0
10.079429095,5.0
10.129467246,6.0
10.179430895,6.0
10.229482951,7.0
10.279427708,7.0
10.329452561,7.0
10.379429507,7.0
10.429605363,7.0
10.479431211,8.0
10.529458673,8.0
10.579436931,8.0
10.629487988,8.0
10.67944423,8.0
10.729455283,9.0
10.779432832,9.0
10.829456977,9.0
10.879440729,9.0
10.92947028,10.0
10.979438626,10.0
11.029462676,10.0
11.079438522,10.0
11.129475557,10.0
