Time,CAN1_TCM_TST_MSG_112_70h_tmpCltActTC_t4
0.034654561,96.0
2.595015207,96.0
5.150464077,96.0
7.711013978,96.0
10.271235123,96.0
12.826461122,96.0
15.386361929,96.0
17.942324321,96.0
20.502247838,96.0
23.057194613,96.0
25.617508497,96.0
28.177496284,96.0
30.733126813,96.0
33.293249561,96.0
35.848361883,96.0
38.408569801,96.0
40.964019098,96.0
43.52455975,96.0
46.079102011,96.0
48.639328927,96.0
51.199444043,96.0
53.755223631,96.0
56.315496397,96.0
58.870237892,96.0
61.430657878,96.0
63.985962538,96.0
66.546253127,96.0
69.101166677,96.0
71.661480334,96.0
74.221676745,96.0
76.776795625,96.0
79.337219141,96.0
81.892130291,96.0
84.452495847,96.0
87.008505921,96.0
89.568173742,96.0
92.12330088,96.0
94.683036623,96.0
97.243251233,96.0
99.799172814,96.0
102.359393543,96.0
104.914279808,96.0
107.47447886,96.0
110.030242643,96.0
112.590071202,96.0
115.144795669,96.0
117.705355706,96.0
120.265243229,96.0
122.821285571,96.0
125.381244497,96.0
127.936272358,96.0
130.496417744,96.0
133.05223773,96.0
135.612769565,96.0
138.166828752,96.0
140.727437952,96.0
143.287234827,96.0
145.842982617,96.0
148.403403105,96.0
150.95811508,96.0
153.51853139,97.0
156.07416152,99.0
158.6346323,99.0
161.194362396,99.0
163.749239756,99.0
166.309772495,100.0
168.865033777,102.0
171.42551293,102.0
173.980292282,102.0
176.540656848,104.0
179.095918095,104.0
181.656271494,104.0
184.216882896,104.0
186.771254074,104.0
189.3316571,104.0
191.886966052,104.0
194.44726596,104.0
197.002382772,104.0
199.562560268,104.0
202.11828072,104.0
204.678032828,104.0
207.238629872,104.0
209.793203667,104.0
212.353604151,104.0
214.909465634,104.0
217.469264844,104.0
220.024477369,104.0
222.584531485,104.0
225.140017649,104.0
227.700153389,104.0
230.260628685,104.0
232.815643149,104.0
235.375637106,104.0
237.931392096,104.0
240.491366853,104.0
243.046388977,104.0
245.606756904,104.0
248.162295644,104.0
250.722519818,104.0
253.282563925,104.0
255.837586778,104.0
258.39742224,104.0
260.953159538,104.0
263.513516326,104.0
266.068492598,104.0
268.628836221,104.0
271.183983248,104.0
273.74418659,104.0
276.304516025,104.0
278.859565996,103.0
281.419905375,103.0
283.974948551,103.0
286.535474531,103.0
289.090458005,103.0
291.650644983,103.0
