Time,CAN2_TCM_C02_Clutch_Cval_PT_t3,CAN2_TCM_C02_Clutch_Stat_TCM_PT_t3
0.018445044,62.400000000000006,1.0
0.028228759,62.800000000000004,1.0
0.038285246,62.800000000000004,1.0
0.048249982,63.2,1.0
0.058284094,64.0,1.0
0.06827658,64.0,1.0
0.078295176,63.6,1.0
0.088256661,64.0,1.0
0.098458544,64.0,1.0
0.108228492,64.0,1.0
0.1184485,64.0,1.0
0.128229215,63.6,1.0
0.138445847,63.2,1.0
0.148255563,62.800000000000004,1.0
0.158288675,63.6,1.0
0.168257535,63.2,1.0
0.178296648,62.800000000000004,1.0
0.188228117,63.2,1.0
0.19843675,63.2,1.0
0.208227573,63.2,1.0
0.218446223,62.800000000000004,1.0
0.228235297,63.2,1.0
0.23830355,63.2,1.0
0.248376164,62.800000000000004,1.0
0.258306757,63.2,1.0
0.268276867,63.2,1.0
0.278305854,62.800000000000004,1.0
0.288231463,62.800000000000004,1.0
0.298437706,63.2,1.0
0.308445943,63.6,1.0
0.318453554,63.6,1.0
0.328269644,63.6,1.0
0.338314007,63.6,1.0
0.348345995,64.0,1.0
0.358305105,64.4,1.0
0.368291699,64.4,1.0
0.378312811,64.4,1.0
0.388265046,64.4,1.0
0.398446928,64.8,1.0
0.408452274,64.4,1.0
0.418450636,64.4,1.0
0.428262975,64.8,1.0
0.438320713,64.8,1.0
0.448463844,64.8,1.0
0.458324187,64.4,1.0
0.468293797,64.8,1.0
0.478324409,64.8,1.0
0.488282003,64.8,1.0
0.49844301,64.8,1.0
0.508448121,64.8,1.0
0.518448482,64.8,1.0
0.528272823,65.2,1.0
0.538328936,65.2,1.0
0.548470676,64.8,1.0
0.558336893,64.8,1.0
0.568304879,65.2,1.0
0.578335616,65.2,1.0
0.588279709,65.2,1.0
0.598442716,65.2,1.0
0.608450202,65.60000000000001,1.0
0.618450688,65.2,1.0
0.628278156,65.60000000000001,1.0
0.638349272,65.2,1.0
0.64829587,65.2,1.0
0.658345876,65.2,1.0
0.668312475,65.60000000000001,1.0
0.678375841,65.60000000000001,1.0
0.688314079,65.2,1.0
0.698444197,65.60000000000001,1.0
0.708448937,65.60000000000001,1.0
0.718456927,65.60000000000001,1.0
0.728290272,66.8,1.0
0.738352513,66.8,1.0
0.748393379,66.4,1.0
0.758349867,67.2,1.0
0.768319356,67.60000000000001,1.0
0.778355972,67.60000000000001,1.0
0.78832907,68.0,1.0
0.798453329,68.4,1.0
0.808451069,68.0,1.0
0.818544811,68.0,1.0
0.828300512,68.0,1.0
0.838483523,68.0,1.0
0.848356993,67.2,1.0
0.858476252,67.60000000000001,1.0
0.868323346,67.2,1.0
0.878381088,67.2,1.0
0.888301451,66.8,1.0
0.898459695,66.8,1.0
0.908451309,66.8,1.0
0.918468674,66.8,1.0
0.928311894,66.8,1.0
0.938389011,66.8,1.0
0.948478128,66.8,1.0
0.95836974,66.8,1.0
0.968337587,66.8,1.0
0.978377329,66.8,1.0
0.988322567,66.8,1.0
0.99844881,66.8,1.0
1.008454175,66.8,1.0
1.018457414,66.8,1.0
1.028321635,67.2,1.0
1.038381751,67.2,1.0
1.048469508,66.8,1.0
1.058389731,67.2,1.0
1.068359703,66.8,1.0
1.07838321,66.8,1.0
1.088340433,66.8,1.0
1.098465691,67.2,1.0
1.10845654,66.8,1.0
1.118461655,66.8,1.0
1.128333641,66.8,1.0
1.138545512,66.8,1.0
1.14848975,66.4,1.0
1.158390846,66.8,1.0
1.16836021,66.8,1.0
1.178395075,66.8,1.0
1.188332298,66.8,1.0
1.198451431,66.8,1.0
1.208452781,67.2,1.0
1.218460412,66.8,1.0
1.228335257,66.8,1.0
1.238407748,66.8,1.0
1.248465489,67.2,1.0
1.258399837,67.2,1.0
1.268371951,67.2,1.0
1.278403816,67.2,1.0
1.288353429,67.2,1.0
1.298452922,67.2,1.0
1.308458037,67.2,1.0
1.318461152,67.2,1.0
1.328353623,67.2,1.0
1.338404739,67.2,1.0
1.348407603,67.2,1.0
1.358490721,67.2,1.0
1.368393208,67.2,1.0
1.378415807,67.2,1.0
1.38837092,67.2,1.0
1.398452162,67.2,1.0
1.408469778,67.2,1.0
1.418460768,67.2,1.0
1.428378989,67.2,1.0
1.43842098,67.2,1.0
1.448403219,67.2,1.0
1.45841671,67.60000000000001,1.0
1.468385573,67.2,1.0
1.478422064,67.2,1.0
1.488367661,67.2,1.0
1.498455403,67.2,1.0
1.508460144,67.2,1.0
1.518466883,67.2,1.0
1.528369229,67.2,1.0
1.538432861,67.2,1.0
1.548494853,67.2,1.0
1.558437826,67.2,1.0
1.568400689,67.2,1.0
1.578428555,67.60000000000001,1.0
1.588371167,67.2,1.0
1.59846191,67.60000000000001,1.0
1.608462274,67.2,1.0
1.6184895,67.2,1.0
1.628383358,67.60000000000001,1.0
1.63843834,67.60000000000001,1.0
1.648494196,67.2,1.0
1.658442049,67.60000000000001,1.0
1.668428139,67.2,1.0
1.678449619,67.2,1.0
1.688378722,67.2,1.0
1.698458954,67.2,1.0
1.708463684,67.2,1.0
1.718485164,67.2,1.0
1.728388001,67.60000000000001,1.0
1.738442982,67.2,1.0
1.748501714,67.2,1.0
1.758451817,67.2,1.0
1.768418906,67.2,1.0
1.778455902,67.2,1.0
1.78854901,67.2,1.0
1.798462972,67.60000000000001,1.0
1.808465076,67.2,1.0
1.818569309,67.2,1.0
1.828395534,67.2,1.0
1.838493393,67.60000000000001,1.0
1.848500372,67.2,1.0
1.858642106,68.0,1.0
1.868429564,67.60000000000001,1.0
1.878479795,67.60000000000001,1.0
1.888406008,67.2,1.0
1.898505882,67.60000000000001,1.0
1.908465844,67.60000000000001,1.0
1.918522076,67.2,1.0
1.928397052,67.2,1.0
1.93848516,67.2,1.0
1.948495765,67.2,1.0
1.958465228,67.2,1.0
1.968439207,67.60000000000001,1.0
1.978477813,67.2,1.0
1.988414167,67.60000000000001,1.0
1.998497399,67.60000000000001,1.0
2.008465112,67.60000000000001,1.0
2.018525234,67.60000000000001,1.0
2.02842007,67.60000000000001,1.0
2.038484803,67.60000000000001,1.0
2.048485783,67.2,1.0
2.058483387,67.60000000000001,1.0
2.068455116,67.60000000000001,1.0
2.078483206,67.60000000000001,1.0
2.088437435,67.60000000000001,1.0
2.098510167,67.60000000000001,1.0
2.108469396,67.60000000000001,1.0
2.118536127,67.2,1.0
2.128430713,67.60000000000001,1.0
2.138607839,67.2,1.0
2.148517801,67.2,1.0
2.158499905,67.2,1.0
2.168454009,67.60000000000001,1.0
2.17848449,67.60000000000001,1.0
2.188429203,67.60000000000001,1.0
2.19850581,67.2,1.0
2.208467913,67.2,1.0
2.218535895,67.60000000000001,1.0
2.228439481,67.60000000000001,1.0
2.238504479,67.60000000000001,1.0
2.248479818,67.2,1.0
2.258497673,67.60000000000001,1.0
2.268470902,67.2,1.0
2.278507633,66.8,1.0
2.288446736,67.2,1.0
2.298531718,66.8,1.0
2.308471056,66.8,1.0
2.318548913,66.8,1.0
2.328448765,67.2,1.0
2.338513372,66.8,1.0
2.348506476,66.4,1.0
2.358510456,66.8,1.0
2.368494046,66.8,1.0
2.378521651,66.8,1.0
2.388467754,66.4,1.0
2.398526611,66.8,1.0
2.408484339,66.8,1.0
2.418553072,66.8,1.0
2.428465033,66.8,1.0
2.438516015,66.8,1.0
2.448498744,66.0,1.0
2.458519474,66.4,1.0
2.468486063,66.0,1.0
2.478525685,66.4,1.0
2.488455397,66.0,1.0
2.498539004,66.0,1.0
2.508473232,66.0,1.0
2.518565215,65.60000000000001,1.0
2.528469426,65.60000000000001,1.0
2.538533033,65.60000000000001,1.0
2.548512512,65.60000000000001,1.0
2.558534992,66.0,1.0
2.568498597,65.60000000000001,1.0
2.578533703,65.60000000000001,1.0
2.588473915,65.60000000000001,1.0
2.598550163,66.0,1.0
2.608476875,65.60000000000001,1.0
2.618574858,65.60000000000001,1.0
2.628480208,66.0,1.0
2.638531934,66.0,1.0
2.648706288,65.60000000000001,1.0
2.658530866,66.0,1.0
2.668498966,65.60000000000001,1.0
2.678534066,65.60000000000001,1.0
2.688480398,65.60000000000001,1.0
2.698561015,66.0,1.0
2.708485097,65.60000000000001,1.0
2.718587465,65.60000000000001,1.0
2.728490296,65.2,1.0
2.738549647,65.60000000000001,1.0
2.748523121,65.60000000000001,1.0
2.758549955,65.60000000000001,1.0
2.768518054,65.60000000000001,1.0
2.778554655,65.60000000000001,1.0
2.78858088,65.60000000000001,1.0
2.798572729,65.60000000000001,1.0
2.808495435,65.60000000000001,1.0
2.818827825,65.60000000000001,1.0
2.828424883,66.0,1.0
2.83871913,65.60000000000001,1.0
2.848531209,65.60000000000001,1.0
2.858667437,65.60000000000001,1.0
2.868522408,65.2,1.0
2.878567243,65.2,1.0
2.888501341,65.2,1.0
2.898591067,65.2,1.0
2.908499789,64.8,1.0
2.918619767,64.8,1.0
2.928503348,64.4,1.0
2.938585964,64.4,1.0
2.948542798,64.4,1.0
2.958577273,64.4,1.0
2.968536496,64.4,1.0
2.978576346,64.4,1.0
2.988513929,64.4,1.0
2.99859103,64.4,1.0
3.008518253,64.4,1.0
3.01861748,64.4,1.0
3.028525952,64.8,1.0
3.038586052,64.4,1.0
3.048557011,64.0,1.0
3.058580236,64.4,1.0
3.068549084,64.4,1.0
3.078579685,64.4,1.0
3.088550533,64.4,1.0
3.09860901,64.4,1.0
3.108523216,64.0,1.0
3.118621068,64.0,1.0
3.128521664,64.0,1.0
3.138746536,64.0,1.0
3.14856974,64.4,1.0
3.158585965,64.0,1.0
3.168549172,64.0,1.0
3.178585398,64.4,1.0
3.18852562,64.0,1.0
3.198608848,64.0,1.0
3.20853682,64.0,1.0
3.218634297,64.4,1.0
3.228537628,64.4,1.0
3.238596479,64.0,1.0
3.248714472,64.0,1.0
3.258604429,64.0,1.0
3.268574886,64.0,1.0
