Time,VehSpd
0.03,5.0
0.04,4.799881341642713
0.05,4.599762683285428
0.06,4.399644024928141
0.07,4.199525366570854
0.08,4.0
0.09,4.0
0.1,4.0
0.11,4.0
0.12,4.0
0.13,4.0
0.14,4.0
0.15,4.0
0.16,4.0
0.17,4.0
0.18,4.0
0.19,4.0
0.2,4.0
0.21,4.0
0.22,4.0
0.23,4.0
0.24,4.0
0.25,4.0
0.26,4.0
0.27,4.0
0.28,4.0
0.29,4.0
0.3,4.0
0.31,4.0
0.32,4.0
0.33,4.0
0.34,3.8000264623826174
0.35,3.600038685635533
0.36,3.4000509088884474
0.37,3.200063132141362
0.38,3.0000753553942765
0.39,3.0
0.4,3.0
0.41,3.0
0.42,3.0
0.43,3.0
0.44,3.0
0.45,3.0
0.46,3.0
0.47,3.0
0.48,3.0
0.49,3.0
0.5,3.0
0.51,3.0
0.52,3.0
0.53,3.0
0.54,3.0
0.55,3.0
0.56,3.0
0.57,3.0
0.58,3.0
0.59,3.0
0.6,3.0
0.61,3.0
0.62,3.0
0.63,3.0
0.64,3.0
0.65,3.0
0.66,3.0
0.67,3.0
0.68,3.0
0.69,3.0
0.7,3.0
0.71,3.0
0.72,3.0
0.73,3.0
0.74,3.0
0.75,3.0
0.76,3.0
0.77,3.0
0.78,2.9996181464773235
0.79,2.7997366961655032
0.8,2.599855245853683
0.81,2.3999737955418627
0.82,2.2000923452300425
0.83,2.0002108949182222
0.84,2.0
0.85,2.0
0.86,2.0
0.87,2.0
0.88,2.0
0.89,2.0
0.9,2.0
0.91,2.0
0.92,2.0
0.93,2.0
0.94,2.0
0.95,2.0
0.96,2.0
0.97,2.0
0.98,2.0
0.99,2.0
1.0,2.0
1.01,2.0
1.02,2.0
1.03,2.0
1.04,2.0
1.05,2.0
1.06,2.0
1.07,2.0
1.08,2.0
1.09,2.0
1.1,2.0
1.11,2.0
1.12,2.0
1.13,2.0
1.14,2.0
1.15,2.0
1.16,2.0
1.17,2.0
1.18,2.0
1.19,2.0
1.2,2.0
1.21,2.0
1.22,2.0
1.23,2.0
1.24,2.0
1.25,2.0
1.26,2.0
1.27,2.0
1.28,2.0
1.29,2.0
1.3,2.0
1.31,2.0
1.32,2.0
1.33,2.0
1.34,2.0
1.35,2.0
1.36,2.0
1.37,2.0
1.38,2.0
1.39,2.0
1.4,2.0
1.41,2.0
1.42,2.0
1.43,2.0
1.44,2.0
1.45,2.0
1.46,2.0
1.47,2.0
1.48,1.9956591285713416
1.49,1.7971494164141963
1.5,1.5986397042570513
1.51,1.400129992099906
1.52,1.2016202799427609
1.53,1.0031105677856156
1.54,1.0
1.55,1.0
1.56,1.0
1.57,1.0
1.58,1.0
1.59,1.0
1.6,1.0
1.61,1.0
1.62,1.0
1.63,1.0
1.64,1.0
1.65,1.0
1.66,1.0
1.67,1.0
1.68,1.0
1.69,1.0
1.7,1.0
1.71,1.0
1.72,1.0
1.73,1.0
1.74,1.0
1.75,1.0
1.76,1.0
1.77,1.0
1.78,1.0
1.79,1.0
1.8,1.0
1.81,1.0
1.82,1.0
1.83,1.0
1.84,1.0
1.85,1.0
1.86,1.0
1.87,1.0
1.88,1.0
1.89,1.0
1.9,1.0
1.91,1.0
1.92,1.0
1.93,1.0
1.94,1.0
1.95,1.0
1.96,1.0
1.97,1.0
1.98,1.0
1.99,1.0
2.0,1.0
2.01,1.0
2.02,1.0
2.03,1.0
2.04,1.0
2.05,1.0
2.06,1.0
2.07,1.0
2.08,1.0
2.09,1.0
2.1,1.0
2.11,1.0
2.12,1.0
2.13,1.0
2.14,1.0
2.15,1.0
2.16,1.0
2.17,1.0
2.18,1.0
2.19,1.0
2.2,1.0
2.21,1.0
2.22,1.0
2.23,1.0
2.24,1.0
2.25,1.0
2.26,1.0
2.27,1.0
2.28,1.0
2.29,1.0
2.3,1.0
2.31,1.0
2.32,1.0
2.33,1.0
2.34,1.0
2.35,1.0
2.36,1.0
2.37,1.0
2.38,1.0
2.39,1.0
2.4,1.0
2.41,1.0
2.42,1.0
2.43,1.0
2.44,1.0
2.45,1.0
2.46,1.0
2.47,1.0
2.48,0.9958056146264892
2.49,0.7959321145646819
2.5,0.5960586145028656
2.51,0.3961851144410582
2.52,0.1963116143792418
2.53,0.0
2.54,0.0
2.55,0.0
2.56,0.0
2.57,0.0
2.58,0.0
2.59,0.0
2.6,0.0
2.61,0.0
2.62,0.0
2.63,0.0
2.64,0.0
2.65,0.0
2.66,0.0
2.67,0.0
2.68,0.0
2.69,0.0
2.7,0.0
2.71,0.0
2.72,0.0
2.73,0.0
2.74,0.0
2.75,0.0
2.76,0.0
2.77,0.0
2.78,0.0
2.79,0.0
2.8,0.0
2.81,0.0
2.82,0.0
2.83,0.0
2.84,0.0
2.85,0.0
2.86,0.0
2.87,0.0
2.88,0.0
2.89,0.0
2.9,0.0
2.91,0.0
2.92,0.0
2.93,0.0
2.94,0.0
2.95,0.0
2.96,0.0
2.97,0.0
2.98,0.0
2.99,0.0
3.0,0.0
3.01,0.0
3.02,0.0
3.03,0.0
3.04,0.0
3.05,0.0
3.06,0.0
3.07,0.0
3.08,0.0
3.09,0.0
3.1,0.0
3.11,0.0
3.12,0.0
3.13,0.0
3.14,0.0
3.15,0.0
3.16,0.0
3.17,0.0
3.18,0.0
3.19,0.0
3.2,0.0
3.21,0.0
3.22,0.0
3.23,0.0
3.24,0.0
3.25,0.0
3.26,0.0
3.27,0.0
3.28,0.0
3.29,0.0
3.3,0.0
3.31,0.0
3.32,0.0
3.33,0.0
3.34,0.0
3.35,0.0
3.36,0.0
3.37,0.0
3.38,0.0
3.39,0.0
3.4,0.0
3.41,0.0
3.42,0.0
3.43,0.0
3.44,0.0
3.45,0.0
3.46,0.0
3.47,0.0
3.48,0.0
3.49,0.0
3.5,0.0
3.51,0.0
3.52,0.0
3.53,0.0
3.54,0.0
3.55,0.0
3.56,0.0
3.57,0.0
3.58,0.0
3.59,0.0
3.6,0.0
3.61,0.0
3.62,0.0
3.63,0.0
3.64,0.0
3.65,0.0
3.66,0.0
3.67,0.0
3.68,0.0
3.69,0.0
3.7,0.0
3.71,0.0
3.72,0.0
3.73,0.0
3.74,0.0
3.75,0.0
3.76,0.0
3.77,0.0
3.78,0.0
3.79,0.0
3.8,0.0
3.81,0.0
3.82,0.0
3.83,0.0
3.84,0.0
3.85,0.0
3.86,0.0
3.87,0.0
3.88,0.0
3.89,0.0
3.9,0.0
3.91,0.0
3.92,0.0
3.93,0.0
3.94,0.0
3.95,0.0
3.96,0.0
3.97,0.0
3.98,0.0
3.99,0.0
4.0,0.0
4.01,0.0
4.02,0.0
4.03,0.0
4.04,0.0
4.05,0.0
4.06,0.0
4.07,0.0
4.08,0.0
4.09,0.0
4.1,0.0
4.11,0.0
4.12,0.0
4.13,0.0
4.14,0.0
4.15,0.0
4.16,0.0
4.17,0.0
4.18,0.0
4.19,0.0
4.2,0.0
4.21,0.0
4.22,0.0
4.23,0.0
4.24,0.0
4.25,0.0
4.26,0.0
4.27,0.0
4.28,0.0
4.29,0.0
4.3,0.0
4.31,0.0
4.32,0.0
4.33,0.0
4.34,0.0
4.35,0.0
4.36,0.0
4.37,0.0
4.38,0.0
4.39,0.0
4.4,0.0
4.41,0.0
4.42,0.0
4.43,0.0
4.44,0.0
4.45,0.0
4.46,0.0
4.47,0.0
4.48,0.0
4.49,0.0
4.5,0.0
4.51,0.0
4.52,0.0
4.53,0.0
4.54,0.0
4.55,0.0
4.56,0.0
4.57,0.0
4.58,0.0
4.59,0.0
4.6,0.0
4.61,0.0
4.62,0.0
4.63,0.0
4.64,0.0
4.65,0.0
4.66,0.0
4.67,0.0
4.68,0.0
4.69,0.0
4.7,0.0
4.71,0.0
4.72,0.0
4.73,0.0
4.74,0.0
4.75,0.0
4.76,0.0
4.77,0.0
4.78,0.0
4.79,0.0
4.8,0.0
4.81,0.0
4.82,0.0
4.83,0.0
4.84,0.0
4.85,0.0
4.86,0.0
4.87,0.0
4.88,0.0
4.89,0.0
4.9,0.0
4.91,0.0
4.92,0.0
4.93,0.0
4.94,0.0
4.95,0.0
4.96,0.0
4.97,0.0
4.98,0.0
4.99,0.0
5.0,0.0
5.01,0.0
5.02,0.0
5.03,0.0
5.04,0.0
5.05,0.0
5.06,0.0
5.07,0.0
5.08,0.0
5.09,0.0
5.1,0.0
5.11,0.0
5.12,0.0
5.13,0.0
5.14,0.0
5.15,0.0
5.16,0.0
5.17,0.0
5.18,0.0
5.19,0.0
5.2,0.0
5.21,0.0
5.22,0.0
5.23,0.0
5.24,0.0
5.25,0.0
5.26,0.0
5.27,0.0
5.28,0.0
5.29,0.0
5.3,0.0
5.31,0.0
5.32,0.0
5.33,0.0
5.34,0.0
5.35,0.0
5.36,0.0
5.37,0.0
5.38,0.0
5.39,0.0
5.4,0.0
5.41,0.0
5.42,0.0
5.43,0.0
5.44,0.0
5.45,0.0
5.46,0.0
5.47,0.0
5.48,0.0
5.49,0.0
5.5,0.0
5.51,0.0
5.52,0.0
5.53,0.0
5.54,0.0
5.55,0.0
5.56,0.0
5.57,0.0
5.58,0.0
5.59,0.0
5.6,0.0
5.61,0.0
5.62,0.0
5.63,0.0
5.64,0.0
5.65,0.0
5.66,0.0
5.67,0.0
5.68,0.0
5.69,0.0
5.7,0.0
5.71,0.0
5.72,0.0
5.73,0.0
5.74,0.0
5.75,0.0
5.76,0.0
5.77,0.0
5.78,0.0
5.79,0.0
5.8,0.0
5.81,0.0
5.82,0.0
5.83,0.0
5.84,0.0
5.85,0.0
5.86,0.0
5.87,0.0
5.88,0.0
5.89,0.0
5.9,0.0
5.91,0.0
5.92,0.0
5.93,0.0
5.94,0.0
5.95,0.0
5.96,0.0
5.97,0.0
5.98,0.0
5.99,0.0
6.0,0.0
6.01,0.0
6.02,0.0
6.03,0.0
6.04,0.0
6.05,0.0
6.06,0.0
6.07,0.0
6.08,0.0
6.09,0.0
6.1,0.0
6.11,0.0
6.12,0.0
6.13,0.0
6.14,0.0
6.15,0.0
6.16,0.0
6.17,0.0
6.18,0.0
6.19,0.0
6.2,0.0
6.21,0.0
6.22,0.0
6.23,0.0
6.24,0.0
6.25,0.0
6.26,0.0
6.27,0.0
6.28,0.0
6.29,0.0
6.3,0.0
6.31,0.0
6.32,0.0
6.33,0.0
6.34,0.0
6.35,0.0
6.36,0.0
6.37,0.0
6.38,0.0
6.39,0.0
6.4,0.0
6.41,0.0
6.42,0.0
6.43,0.0
6.44,0.0
6.45,0.0
6.46,0.0
6.47,0.0
6.48,0.0
6.49,0.0
6.5,0.0
6.51,0.0
6.52,0.0
6.53,0.0
6.54,0.0
6.55,0.0
6.56,0.0
6.57,0.0
6.58,0.0
6.59,0.0
6.6,0.0
6.61,0.0
6.62,0.0
6.63,0.0
6.64,0.0
6.65,0.0
6.66,0.0
6.67,0.0
6.68,0.0
6.69,0.0
6.7,0.0
6.71,0.0
6.72,0.0
6.73,0.0
6.74,0.0
6.75,0.0
6.76,0.0
6.77,0.0
6.78,0.0
6.79,0.0
6.8,0.0
6.81,0.0
6.82,0.0
6.83,0.0
6.84,0.0
6.85,0.0
6.86,0.0
6.87,0.0
6.88,0.0
6.89,0.0
6.9,0.0
6.91,0.0
6.92,0.0
6.93,0.0
6.94,0.0
6.95,0.0
6.96,0.0
6.97,0.0
6.98,0.0
6.99,0.0
7.0,0.0
7.01,0.0
7.02,0.0
7.03,0.0
7.04,0.0
7.05,0.0
7.06,0.0
7.07,0.0
7.08,0.0
7.09,0.0
7.1,0.0
7.11,0.0
7.12,0.0
7.13,0.0
7.14,0.0
7.15,0.0
7.16,0.0
7.17,0.0
7.18,0.0
7.19,0.0
7.2,0.0
7.21,0.0
7.22,0.0
7.23,0.0
7.24,0.0
7.25,0.0
7.26,0.0
7.27,0.0
7.28,0.0
7.29,0.0
7.3,0.0
7.31,0.0
7.32,0.0
7.33,0.0
7.34,0.0
7.35,0.0
7.36,0.0
7.37,0.0
7.38,0.0
7.39,0.0
7.4,0.0
7.41,0.0
7.42,0.0
7.43,0.0
7.44,0.0
7.45,0.0
7.46,0.0
7.47,0.0
7.48,0.0
7.49,0.0
7.5,0.0
7.51,0.0
7.52,0.0
7.53,0.0
7.54,0.0
7.55,0.0
7.56,0.0
7.57,0.0
7.58,0.0
7.59,0.0
7.6,0.0
7.61,0.0
7.62,0.0
7.63,0.0
7.64,0.0
7.65,0.0
7.66,0.0
7.67,0.0
7.68,0.0
7.69,0.0
7.7,0.0
7.71,0.0
7.72,0.0
7.73,0.0
7.74,0.0
7.75,0.0
7.76,0.0
7.77,0.0
7.78,0.0
7.79,0.0
7.8,0.0
7.81,0.0
7.82,0.0
7.83,0.0
7.84,0.0
7.85,0.0
7.86,0.0
7.87,0.0
7.88,0.0
7.89,0.0
7.9,0.0
7.91,0.0
7.92,0.0
7.93,0.0
7.94,0.0
7.95,0.0
7.96,0.0
7.97,0.0
7.98,0.0
7.99,0.0
8.0,0.0
8.01,0.0
8.02,0.0
8.03,0.0
8.04,0.0
8.05,0.0
8.06,0.0
8.07,0.0
8.08,0.0
8.09,0.0
8.1,0.0
8.11,0.0
8.12,0.0
8.13,0.0
8.14,0.0
8.15,0.0
8.16,0.0
8.17,0.0
8.18,0.0
8.19,0.0
8.2,0.0
8.21,0.0
8.22,0.0
8.23,0.0
8.24,0.0
8.25,0.0
8.26,0.0
8.27,0.0
8.28,0.0
8.29,0.0
8.3,0.0
8.31,0.0
8.32,0.0
8.33,0.0
8.34,0.0
8.35,0.0
8.36,0.0
8.37,0.0
8.38,0.0
8.39,0.0
8.4,0.0
8.41,0.0
8.42,0.0
8.43,0.0
8.44,0.0
8.45,0.0
8.46,0.0
8.47,0.0
8.48,0.0
8.49,0.0
8.5,0.0
8.51,0.0
8.52,0.0
8.53,0.0
8.54,0.0
8.55,0.0
8.56,0.0
8.57,0.0
8.58,0.0
8.59,0.0
8.6,0.0
8.61,0.0
8.62,0.0
8.63,0.0
8.64,0.0
8.65,0.0
8.66,0.0
8.67,0.0
8.68,0.0
8.69,0.0
8.7,0.0
8.71,0.0
8.72,0.0
8.73,0.0
8.74,0.0
8.75,0.0
8.76,0.0
8.77,0.0
8.78,0.0
8.79,0.0
8.8,0.0
8.81,0.0
8.82,0.0
8.83,0.0
8.84,0.0
8.85,0.0
8.86,0.0
8.87,0.0
8.88,0.0
8.89,0.0
8.9,0.0
8.91,0.0
8.92,0.0
8.93,0.0
8.94,0.0
8.95,0.0
8.96,0.0
8.97,0.0
8.98,0.0
8.99,0.0
9.0,0.0
9.01,0.0
9.02,0.0
9.03,0.0
9.04,0.0
9.05,0.0
9.06,0.0
9.07,0.0
9.08,0.0
9.09,0.0
9.1,0.0
9.11,0.0
9.12,0.0
9.13,0.0
9.14,0.0
9.15,0.0
9.16,0.0
9.17,0.0
9.18,0.0
9.19,0.0
9.2,0.0
9.21,0.0
9.22,0.0
9.23,0.0024235010028841
9.24,0.2025061431374194
9.25,0.4025887852719191
9.26,0.6026714274064189
9.27,0.8027540695409187
9.28,1.0
9.29,1.0
9.3,1.0
9.31,1.0
9.32,1.0
9.33,1.0
9.34,1.0
9.35,1.0
9.36,1.0
9.37,1.0
9.38,1.002845870114986
9.39,1.202158826395901
9.4,1.4014717826768166
9.41,1.6007847389577674
9.42,1.800097695238683
9.43,1.9994106515195984
9.44,2.0
9.45,2.0
9.46,2.0
9.47,2.0
9.48,2.0027265209559624
9.49,2.202641537082635
9.5,2.4025565532092723
9.51,2.602471569335909
9.52,2.802386585462547
9.53,3.0
9.54,3.0
9.55,3.0
9.56,3.0
9.57,3.0
9.58,3.0
9.59,3.0
9.6,3.0
9.61,3.0
9.62,3.0
9.63,3.0022772521354537
9.64,3.2017981864105844
9.65,3.401319120685716
9.66,3.600840054960882
9.67,3.8003609892360126
9.68,3.999881923511144
9.69,4.0
9.7,4.0
9.71,4.0
9.72,4.0
9.73,4.0
9.74,4.0
9.75,4.0
9.76,4.0
9.77,4.0
9.78,4.0
9.79,4.0
9.8,4.0
9.81,4.0
9.82,4.0
9.83,4.0
9.84,4.0
9.85,4.0
9.86,4.0
9.87,4.0
9.88,4.002628465669885
9.89,4.202548273836425
9.9,4.402468082003001
9.91,4.60238789016954
9.92,4.80230769833608
9.93,5.0
9.94,5.0
9.95,5.0
9.96,5.0
9.97,5.0
9.98,5.0
9.99,5.0
10.0,5.0
10.01,5.0
10.02,5.0
10.03,5.0
10.04,5.0
10.05,5.0
10.06,5.0
10.07,5.0
10.08,5.002629333765793
10.09,5.202476846116912
10.1,5.402324358468031
10.11,5.602171870819149
10.12,5.802019383170268
10.13,6.0
10.14,6.0
10.15,6.0
10.16,6.0
10.17,6.0
10.18,6.002592640749912
10.19,6.202384633310611
10.2,6.402176625871312
10.21,6.601968618432012
10.22,6.801760610992712
10.23,7.0
10.24,7.0
10.25,7.0
10.26,7.0
10.27,7.0
10.28,7.0
10.29,7.0
10.3,7.0
10.31,7.0
10.32,7.0
10.33,7.0
10.34,7.0
10.35,7.0
10.36,7.0
10.37,7.0
10.38,7.0
10.39,7.0
10.4,7.0
10.41,7.0
10.42,7.0
10.43,7.0
10.44,7.19980189800285
10.45,7.400500940796861
10.46,7.601199983590873
10.47,7.801899026384884
10.48,8.0
10.49,8.0
10.5,8.0
10.51,8.0
10.52,8.0
10.53,8.0
10.54,8.0
10.55,8.0
10.56,8.0
10.57,8.0
10.58,8.0
10.59,8.0
10.6,8.0
10.61,8.0
10.62,8.0
10.63,8.0
10.64,8.0
10.65,8.0
10.66,8.0
10.67,8.0
10.68,8.002328125344656
10.69,8.202283923115994
10.7,8.402239720887334
10.71,8.602195518658672
10.72,8.802151316430011
10.73,9.0
10.74,9.0
10.75,9.0
10.76,9.0
10.77,9.0
10.78,9.0
10.79,9.0
10.8,9.0
10.81,9.0
10.82,9.0
10.83,9.0
10.84,9.0
10.85,9.0
10.86,9.0
10.87,9.0
10.88,9.002397243181347
10.89,9.202279109001042
10.9,9.402160974820704
10.91,9.602042840640362
10.92,9.801924706460024
10.93,10.0
10.94,10.0
10.95,10.0
10.96,10.0
10.97,10.0
10.98,10.0
10.99,10.0
11.0,10.0
11.01,10.0
11.02,10.0
11.03,10.0
11.04,10.0
11.05,10.0
11.06,10.0
11.07,10.0
11.08,10.0
11.09,10.0
11.1,10.0
11.11,10.0
11.12,10.0
11.13,10.0
11.14,10.0
11.15,10.0
11.16,10.0
11.17,10.0
11.18,10.0
11.19,10.0
11.2,10.0
11.21,10.0
11.22,10.0
11.23,10.0
11.24,10.0
11.25,10.0
11.26,10.0
11.27,10.0
11.28,10.0
11.29,10.0
11.3,10.0
11.31,10.0
11.32,10.0
11.33,10.0
11.34,10.0
11.35,10.0
11.36,10.0
11.37,10.0
11.38,10.0
11.39,10.0
11.4,10.0
11.41,10.0
11.42,10.0
11.43,10.0
11.44,10.0
11.45,10.0
11.46,10.0
11.47,10.0
11.48,10.002328478618995
11.49,10.201734034703865
11.5,10.401139590788732
11.51,10.6005451468736
11.52,10.79995070295847
11.53,10.999356259043337
11.54,11.0
11.55,11.0
11.56,11.0
11.57,11.0
11.58,11.002268473027089
11.59,11.202190303591331
11.6,11.402112134155578
11.61,11.602033964719825
11.62,11.80195579528407
11.63,12.0
11.64,12.0
11.65,12.0
11.66,12.0
11.67,12.0
11.68,11.997949013391075
11.69,11.79799321561973
11.7,11.598037417848383
11.71,11.398081620077038
11.72,11.198125822305656
11.73,11.0
11.74,11.0
11.75,11.0
11.76,11.0
11.77,11.0
11.78,11.0
11.79,11.0
11.8,11.0
11.81,11.0
11.82,11.0
11.83,11.0
11.84,11.0
11.85,11.0
11.86,11.0
11.87,11.0
11.88,11.0
11.89,11.0
11.9,11.0
11.91,11.0
11.92,11.0
11.93,11.0
11.94,11.0
11.95,11.0
11.96,11.0
11.97,11.0
11.98,11.0
11.99,11.0
12.0,11.0
12.01,11.0
12.02,11.0
12.03,11.0
12.04,11.0
12.05,11.0
12.06,11.0
12.07,11.0
12.08,11.0
12.09,11.0
12.1,11.0
12.11,11.0
12.12,11.0
12.13,11.0
12.14,11.0
12.15,11.0
12.16,11.0
12.17,11.0
12.18,11.0
12.19,11.0
12.2,11.0
12.21,11.0
12.22,11.0
12.23,11.0
12.24,11.0
12.25,11.0
12.26,11.0
12.27,11.0
12.28,11.0
12.29,11.0
12.3,11.0
12.31,11.0
12.32,11.0
12.33,11.0
