Time,VehSpd
0.083,0.0
0.093,0.0
0.103,0.0
0.113,0.0
0.123,0.0
0.133,0.0
0.143,0.0
0.153,0.0
0.163,0.0
0.173,0.0
0.183,0.0
0.193,0.0
0.203,0.0
0.213,0.0
0.223,0.0
0.233,0.0
0.243,0.0
0.253,0.0
0.263,0.0
0.273,0.0
0.283,0.0
0.293,0.0
0.303,0.0
0.313,0.0
0.323,0.0
0.333,0.0
0.343,0.0
0.353,0.0
0.363,0.0
0.373,0.0
0.383,0.0
0.393,0.0
0.403,0.0
0.413,0.0
0.423,0.0
0.433,0.0
0.443,0.0
0.453,0.0
0.463,0.0
0.473,0.0
0.483,0.0
0.493,0.0
0.503,0.0
0.513,0.0
0.523,0.0
0.533,0.0
0.543,0.0
0.553,0.0
0.563,0.0
0.573,0.0
0.583,0.0
0.593,0.0
0.603,0.0
0.613,0.0
0.623,0.0
0.633,0.0
0.643,0.0
0.653,0.0
0.663,0.0
0.673,0.0
0.683,0.0
0.693,0.0
0.703,0.0
0.713,0.0
0.723,0.0
0.733,0.0
0.743,0.0
0.753,0.0
0.763,0.0
0.773,0.0
0.783,0.0
0.793,0.0
0.803,0.0
0.813,0.0
0.823,0.0
0.833,0.0
0.843,0.0
0.853,0.0
0.863,0.0
0.873,0.0
0.883,0.0
0.893,0.0
0.903,0.0
0.913,0.0
0.923,0.0
0.933,0.0
0.943,0.0
0.953,0.0
0.963,0.0
0.973,0.0
0.983,0.0
0.993,0.0
1.003,0.0
1.013,0.0
1.023,0.0
1.033,0.0
1.043,0.0
1.053,0.0
1.063,0.0
1.073,0.0
1.083,0.0
1.093,0.0
1.103,0.0
1.113,0.0
1.123,0.0
1.133,0.0
1.143,0.0
1.153,0.0
1.163,0.0
1.173,0.0
1.183,0.0
1.193,0.0
1.203,0.0
1.213,0.0
1.223,0.0
1.233,0.0
1.243,0.0
1.253,0.0
1.263,0.0
1.273,0.0
1.283,0.0
1.293,0.0
1.303,0.0
1.313,0.0
1.323,0.0
1.333,0.0
1.343,0.0
1.353,0.0
1.363,0.0
1.373,0.0
1.383,0.0
1.393,0.0
1.403,0.0
1.413,0.0
1.423,0.0
1.433,0.0
1.443,0.0
1.453,0.0
1.463,0.0
1.473,0.0
1.483,0.0
1.493,0.0
1.503,0.0
1.513,0.0
1.523,0.0
1.533,0.0
1.543,0.0
1.553,0.0
1.563,0.0
1.573,0.0
1.583,0.0
1.593,0.0
1.603,0.0
1.613,0.0
1.623,0.0
1.633,0.0
1.643,0.0
1.653,0.0
1.663,0.0
1.673,0.0
1.683,0.0
1.693,0.0
1.703,0.0
1.713,0.0
1.723,0.0
1.733,0.0
1.743,0.0
1.753,0.0
1.763,0.0
1.773,0.0
1.783,0.0
1.793,0.0
1.803,0.0
1.813,0.0
1.823,0.0
1.833,0.0
1.843,0.0
1.853,0.0
1.863,0.0
1.873,0.0
1.883,0.0
1.893,0.0
1.903,0.0
1.913,0.0
1.923,0.0
1.933,0.0
1.943,0.0
1.953,0.0
1.963,0.0
1.973,0.0
1.983,0.0
1.993,0.0
2.003,0.0
2.013,0.0
2.023,0.0
2.033,0.0
2.043,0.0
2.053,0.0
2.063,0.0
2.073,0.0
2.083,0.0
2.093,0.0
2.103,0.0
2.113,0.0
2.123,0.0
2.133,0.0
2.143,0.0
2.153,0.0
2.163,0.0
2.173,0.0
2.183,0.0
2.193,0.0
2.203,0.0
2.213,0.0
2.223,0.0
2.233,0.0
2.243,0.0
2.253,0.0
2.263,0.0
2.273,0.0
2.283,0.0
2.293,0.0
2.303,0.0
2.313,0.0
2.323,0.0
2.333,0.0
2.343,0.0
2.353,0.0
2.363,0.0
2.373,0.0
2.383,0.0
2.393,0.0
2.403,0.0
2.413,0.0
2.423,0.0
2.433,0.0
2.443,0.0
2.453,0.0
2.463,0.0
2.473,0.0
2.483,0.0
2.493,0.0
2.503,0.0
2.513,0.0
2.523,0.0
2.533,0.0
2.543,0.0
2.553,0.0
2.563,0.0
2.573,0.0
2.583,0.0
2.593,0.0
2.603,0.0
2.613,0.0
2.623,0.0
2.633,0.0
2.643,0.0
2.653,0.0
2.663,0.0
2.673,0.0
2.683,0.0
2.693,0.0
2.703,0.0
2.713,0.0
2.723,0.0
2.733,0.0
2.743,0.0
2.753,0.0
2.763,0.0
2.773,0.0
2.783,0.0
2.793,0.0
2.803,0.0
2.813,0.0
2.823,0.0
2.833,0.0
2.843,0.0
2.853,0.0
2.863,0.0
2.873,0.0
2.883,0.0
2.893,0.0
2.903,0.0
2.913,0.0
2.923,0.0
2.933,0.0
2.943,0.0
2.953,0.0
2.963,0.0
2.973,0.0
2.983,0.0
2.993,0.0
3.003,0.0
3.013,0.0
3.023,0.0
3.033,0.0
3.043,0.0
3.053,0.0
3.063,0.0
3.073,0.0
3.083,0.0
3.093,0.0
3.103,0.0
3.113,0.0
3.123,0.0
3.133,0.0
3.143,0.0
3.153,0.0
3.163,0.0
3.173,0.0
3.183,0.0
3.193,0.0
3.203,0.0
3.213,0.0
3.223,0.0
3.233,0.0
3.243,0.0
3.253,0.0
3.263,0.0
3.273,0.0
3.283,0.0
3.293,0.0
3.303,0.0
3.313,0.0
3.323,0.0
3.333,0.0
3.343,0.0
3.353,0.0
3.363,0.0
3.373,0.0
3.383,0.0
3.393,0.0
3.403,0.0
3.413,0.0
3.423,0.0
3.433,0.0
3.443,0.0
3.453,0.0
3.463,0.0
3.473,0.0
3.483,0.0
3.493,0.0
3.503,0.0
3.513,0.0
3.523,0.0
3.533,0.0
3.543,0.0
3.553,0.0
3.563,0.0
3.573,0.0
3.583,0.0
3.593,0.0
3.603,0.0
3.613,0.0
3.623,0.0
3.633,0.0
3.643,0.0
3.653,0.0
3.663,0.0
3.673,0.0
3.683,0.0
3.693,0.0
3.703,0.0
3.713,0.0
3.723,0.0
3.733,0.0
3.743,0.0
3.753,0.0
3.763,0.0
3.773,0.0
3.783,0.0
3.793,0.0
3.803,0.0
3.813,0.0
3.823,0.0
3.833,0.0
3.843,0.0
3.853,0.0
3.863,0.0
3.873,0.0
3.883,0.0
3.893,0.0
3.903,0.0
3.913,0.0
3.923,0.0
3.933,0.0
3.943,0.0
3.953,0.0
3.963,0.0
3.973,0.0
3.983,0.0
3.993,0.0
4.003,0.0
4.013,0.0
4.023,0.0
4.033,0.0
4.043,0.0
4.053,0.0
4.063,0.0
4.073,0.0
4.083,0.0
4.093,0.0
4.103,0.0
4.113,0.0
4.123,0.0
4.133,0.0
4.143,0.0
4.153,0.0
4.163,0.0
4.173,0.0
4.183,0.0
4.193,0.0
4.203,0.0
4.213,0.0
4.223,0.0
4.233,0.0
4.243,0.0
4.253,0.0
4.263,0.0
4.273,0.0
4.283,0.0
4.293,0.0
4.303,0.0
4.313,0.0
4.323,0.0
4.333,0.0
4.343,0.0
4.353,0.0
4.363,0.0
4.373,0.0
4.383,0.0
4.393,0.0
4.403,0.0
4.413,0.0
4.423,0.0
4.433,0.0
4.443,0.0
4.453,0.0
4.463,0.0
4.473,0.0
4.483,0.0
4.493,0.0
4.503,0.0
4.513,0.0
4.523,0.0
4.533,0.0
4.543,0.0
4.553,0.0
4.563,0.0
4.573,0.0
4.583,0.0
4.593,0.0
4.603,0.0
4.613,0.0
4.623,0.0
4.633,0.0
4.643,0.0
4.653,0.0
4.663,0.0
4.673,0.0
4.683,0.0
4.693,0.0
4.703,0.0
4.713,0.0
4.723,0.0
4.733,0.0
4.743,0.0
4.753,0.0
4.763,0.0
4.773,0.0
4.783,0.0
4.793,0.0
4.803,0.0
4.813,0.0
4.823,0.0
4.833,0.0
4.843,0.0
4.853,0.0
4.863,0.0
4.873,0.0
4.883,0.0
4.893,0.0
4.903,0.0
4.913,0.0
4.923,0.0
4.933,0.0
4.943,0.0
4.953,0.0
4.963,0.0
4.973,0.0
4.983,0.0
4.993,0.0
5.003,0.0
5.013,0.0
5.023,0.0
5.033,0.0
5.043,0.0
5.053,0.0
5.063,0.0
5.073,0.0
5.083,0.0
5.093,0.0
5.103,0.0
5.113,0.0
5.123,0.0
5.133,0.0
5.143,0.0
5.153,0.0
5.163,0.0
5.173,0.0
5.183,0.0
5.193,0.0
5.203,0.0
5.213,0.0
5.223,0.0
5.233,0.0
5.243,0.0
5.253,0.0
5.263,0.0
5.273,0.0
5.283,0.0
5.293,0.0
5.303,0.0
5.313,0.0
5.323,0.0
5.333,0.0
5.343,0.0
5.353,0.0
5.363,0.0
5.373,0.0
5.383,0.0
5.393,0.0
5.403,0.0
5.413,0.0
5.423,0.0
5.433,0.0
5.443,0.0
5.453,0.0
5.463,0.0
5.473,0.0
5.483,0.0
5.493,0.0
5.503,0.0
5.513,0.0
5.523,0.0
5.533,0.0
5.543,0.0
5.553,0.0
5.563,0.0
5.573,0.0
5.583,0.0
5.593,0.0
5.603,0.0
5.613,0.0
5.623,0.0
5.633,0.0
5.643,0.0
5.653,0.0
5.663,0.0
5.673,0.0
5.683,0.0
5.693,0.0
5.703,0.0
5.713,0.0
5.723,0.0
5.733,0.0
5.743,0.0
5.753,0.0
5.763,0.0
5.773,0.0
5.783,0.0
5.793,0.0
5.803,0.0
5.813,0.0
5.823,0.0
5.833,0.0
5.843,0.0
5.853,0.0
5.863,0.0
5.873,0.0
5.883,0.0
5.893,0.0
5.903,0.0
5.913,0.0
5.923,0.0
5.933,0.0
5.943,0.0
5.953,0.0
5.963,0.0
5.973,0.0
5.983,0.0
5.993,0.0
6.003,0.0
6.013,0.0
6.023,0.0
6.033,0.0
6.043,0.0
6.053,0.0
6.063,0.0
6.073,0.0
6.083,0.0
6.093,0.0
6.103,0.0
6.113,0.0
6.123,0.0
6.133,0.0
6.143,0.0
6.153,0.0
6.163,0.0
6.173,0.0
6.183,0.0
6.193,0.0
6.203,0.0
6.213,0.0
6.223,0.0
6.233,0.0
6.243,0.0
6.253,0.0
6.263,0.0
6.273,0.0
6.283,0.0
6.293,0.0
6.303,0.0
6.313,0.0
6.323,0.0
6.333,0.0
